"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.801958243E-3,1.231536723E-1,-8.188272692E-2,-1.567790544E-1,2.155255899E-1
1.782995823E-2,-5.998402265E-2,-1.336909214E-1,-2.849582076E-2,1.492761107E-1
2.785695833E-2,-1.587149259E-2,-1.287294127E-1,-1.304344243E-1,1.839464732E-1
3.788395831E-2,-6.710441013E-2,-1.263658585E-1,-9.782976508E-3,1.434121288E-1
4.791195830E-2,1.043886600E-1,6.664448094E-2,-8.178675950E-2,1.484168225E-1
5.793895829E-2,-8.752898108E-2,1.819941852E-1,-5.244426191E-2,2.086470862E-1
6.796595827E-2,-3.447137366E-2,1.663000757E-1,-8.477702558E-2,1.898186894E-1
7.799395826E-2,8.455998424E-2,2.937432837E-2,-5.484220505E-2,1.049805199E-1
8.802095824E-2,3.458858521E-2,-6.530912306E-2,-6.906672657E-2,1.011526792E-1
9.804795822E-2,-1.154671511E-1,-1.195748657E-1,-1.165215594E-1,2.029977470E-1
1.080759583E-1,3.513740122E-2,-1.653703318E-1,-6.263303518E-2,1.802910999E-1
1.181029583E-1,4.153673792E-2,-2.030818030E-1,-2.416361868E-2,2.086897213E-1
1.281299583E-1,-3.699149163E-2,-1.182189695E-1,-7.565419972E-2,1.451470053E-1
1.381579583E-1,-2.593910059E-2,-2.773283221E-2,-4.914409339E-2,6.210546544E-2
1.481849583E-1,7.783042375E-2,1.849174641E-2,-8.416657627E-2,1.161186122E-1
1.582119582E-1,5.265324505E-2,-1.959606618E-2,-2.368707061E-2,6.097087287E-2
1.682401666E-1,1.269750836E-1,-6.870511282E-2,-4.524283111E-2,1.512943428E-1
1.782671666E-1,3.280901482E-2,-1.787739043E-1,-7.263645172E-2,1.957360325E-1
1.882941666E-1,-1.972565738E-2,-2.911899508E-1,-1.251853788E-1,3.175721462E-1
1.983221666E-1,-3.488855651E-2,-3.087531959E-1,-7.953499675E-2,3.207359709E-1
2.083491666E-1,7.063944028E-2,-3.055850648E-1,-1.398653984E-3,3.136464867E-1
2.183761667E-1,8.377463466E-3,-2.095330360E-1,-9.478336573E-4,2.097025834E-1
2.284041666E-1,6.829753448E-3,-9.774205685E-3,-9.928981483E-2,1.000032397E-1
2.384311666E-1,-2.689569594E-2,1.148821828E-1,-1.097575003E-1,1.611459067E-1
2.484581666E-1,6.007005438E-2,1.308184036E-1,-1.293702310E-1,1.935420441E-1
2.584861666E-1,4.405656810E-2,6.786896098E-2,-8.940743566E-2,1.205855157E-1
2.685131666E-1,9.999149898E-3,-1.778832637E-3,-5.019600749E-2,5.121314687E-2
2.785401666E-1,4.195034620E-2,-1.564663745E-2,-6.906848073E-2,8.231101895E-2
2.885681667E-1,-7.730119592E-2,-7.265165448E-3,-6.009534359E-2,9.818201383E-2
2.985951666E-1,6.058558237E-3,-2.609195732E-2,-7.507298648E-2,7.970852943E-2
3.086221666E-1,-6.086506101E-2,-7.669566192E-2,-1.534543276E-2,9.910732826E-2
3.186501666E-1,2.450089796E-2,-1.175641179E-2,-6.174659729E-2,6.746220791E-2
3.286771666E-1,3.261318791E-3,4.740958996E-2,-7.715810359E-2,9.061831145E-2
3.387041666E-1,-1.502900474E-2,5.442029189E-2,-7.131907403E-2,9.096070291E-2
3.487321666E-1,-2.294722424E-2,8.911631741E-2,-1.024607599E-1,1.377189182E-1
3.587591666E-1,6.320038412E-3,1.321386318E-1,-6.818555117E-2,1.488281905E-1
3.687861667E-1,-5.638118307E-3,1.461721687E-1,-6.354403138E-2,1.594864734E-1
3.788141666E-1,-3.242749313E-2,9.979954585E-2,-6.983388126E-2,1.260486519E-1
3.888411666E-1,6.623319327E-4,6.512270652E-2,-7.911809027E-2,1.024747666E-1
3.988681666E-1,-3.550964501E-2,6.694016732E-2,-9.437990785E-2,1.210350689E-1
4.088961666E-1,1.735782055E-2,3.664230779E-2,-1.247632098E-1,1.311861699E-1
4.189231666E-1,1.331290862E-2,-4.909914292E-2,-8.509803772E-2,9.914451773E-2
4.289501666E-1,-1.476164538E-2,-3.248522982E-2,-5.800379455E-2,6.810019466E-2
4.389781666E-1,1.300041377E-2,6.927664161E-2,-6.069643736E-2,9.301785495E-2
4.490051667E-1,-1.461574364E-2,7.478735000E-2,-5.126487851E-2,9.184146912E-2
4.590321666E-1,-4.796714938E-2,-5.179500170E-3,-5.620226741E-2,7.407003108E-2
4.690601666E-1,-8.920160453E-3,-6.848109137E-2,-4.796997249E-2,8.408535782E-2
4.790871666E-1,1.713118841E-2,-1.451004471E-1,-6.204188168E-2,1.587350385E-1
4.891141666E-1,2.098271966E-2,-1.104908142E-1,-6.922810972E-2,1.320644756E-1
4.991421666E-1,-1.673284227E-2,-2.203914251E-2,-5.291847110E-2,5.971663417E-2
5.091691666E-1,7.468141490E-2,9.069616199E-3,-4.154856026E-2,8.594099446E-2
5.191961667E-1,-1.291216878E-2,-2.006925210E-2,-3.571303904E-2,4.295253357E-2
5.292241666E-1,-6.181470822E-2,-2.112423599E-2,-1.048756599E-1,1.235564468E-1
5.392511666E-1,-2.001794279E-3,-7.143484890E-2,-5.877855062E-2,9.253033466E-2
5.492781666E-1,4.510582354E-2,-1.128092352E-1,-6.013042688E-2,1.355585745E-1
5.593061666E-1,2.873224699E-2,-1.834435272E-1,-6.911993623E-2,1.981278256E-1
5.693331666E-1,-3.092087351E-2,-8.637075730E-2,-6.583847880E-2,1.129190570E-1
5.793611666E-1,4.064932245E-2,5.937675733E-2,-8.366430044E-2,1.103525346E-1
5.893881666E-1,4.383291210E-2,1.369218004E-1,-7.394330442E-2,1.616679185E-1
5.994151667E-1,-4.763935813E-2,1.218834927E-1,-9.311573982E-2,1.606101965E-1
6.094431666E-1,-6.998465263E-2,6.366119497E-2,-1.064456373E-1,1.424123346E-1
6.194701666E-1,-1.746384701E-2,2.876873955E-2,-8.474662006E-2,9.118451590E-2
6.294971666E-1,3.710381070E-2,3.284651466E-2,-4.838220119E-2,6.925621767E-2
6.395251666E-1,1.837928801E-2,-4.339989837E-2,-3.790925324E-2,6.048521214E-2
6.495521666E-1,4.025460798E-3,-1.850548371E-1,-1.291649938E-2,1.855487349E-1
6.595791666E-1,-1.100832679E-2,-1.978731398E-1,-6.471055090E-2,2.084764210E-1
6.696071667E-1,-1.205420866E-2,-9.020664040E-2,-9.090607703E-2,1.286330314E-1
6.796341666E-1,8.213885324E-2,-1.980415396E-3,-5.752783120E-2,1.003003720E-1
6.896611666E-1,7.042537280E-2,1.274011081E-1,-5.349676073E-2,1.550892610E-1
6.996891666E-1,-6.458711984E-2,1.173816482E-1,-7.356323540E-2,1.528446826E-1
7.097161666E-1,-2.981650806E-2,1.245143742E-1,-6.429539859E-2,1.432716016E-1
7.197431666E-1,-6.994518392E-2,1.383268498E-2,-8.571199536E-2,1.114908879E-1
7.297711666E-1,4.508777026E-2,-9.902789611E-2,-6.596127033E-2,1.272411899E-1
7.397981666E-1,1.581984980E-2,-2.106783228E-1,-3.872727871E-2,2.147915861E-1
